# file...... solar_collector_seconds.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# group..... class=inverter AND groupid=solar_inverters
# trigger... (none)
# interval.. 10
# limit..... 0
# property.. timestamp,sum(power_A.real),sum(power_B.real),sum(power_C.real)
2016-01-01 01:15:00 PST,+0,+0,+0
2016-01-01 01:15:10 PST,+0,+0,+0
2016-01-01 01:15:20 PST,+0,+0,+0
2016-01-01 01:15:30 PST,+0,+0,+0
2016-01-01 01:15:40 PST,+0,+0,+0
2016-01-01 01:15:50 PST,+0,+0,+0
2016-01-01 01:16:00 PST,+0,+0,+0
2016-01-01 01:16:10 PST,+0,+0,+0
2016-01-01 01:16:20 PST,+0,+0,+0
2016-01-01 01:16:30 PST,+0,+0,+0
2016-01-01 01:16:40 PST,+0,+0,+0
2016-01-01 01:16:50 PST,+0,+0,+0
2016-01-01 01:17:00 PST,+0,+0,+0
2016-01-01 01:17:10 PST,+0,+0,+0
2016-01-01 01:17:20 PST,+0,+0,+0
2016-01-01 01:17:30 PST,+0,+0,+0
2016-01-01 01:17:40 PST,+0,+0,+0
2016-01-01 01:17:50 PST,+0,+0,+0
2016-01-01 01:18:00 PST,+0,+0,+0
2016-01-01 01:18:10 PST,+0,+0,+0
2016-01-01 01:18:20 PST,+0,+0,+0
2016-01-01 01:18:30 PST,+0,+0,+0
2016-01-01 01:18:40 PST,+0,+0,+0
2016-01-01 01:18:50 PST,+0,+0,+0
2016-01-01 01:19:00 PST,+0,+0,+0
2016-01-01 01:19:10 PST,+0,+0,+0
2016-01-01 01:19:20 PST,+0,+0,+0
2016-01-01 01:19:30 PST,+0,+0,+0
2016-01-01 01:19:40 PST,+0,+0,+0
2016-01-01 01:19:50 PST,+0,+0,+0
2016-01-01 01:20:00 PST,+0,+0,+0
2016-01-01 01:20:10 PST,+0,+0,+0
2016-01-01 01:20:20 PST,+0,+0,+0
2016-01-01 01:20:30 PST,+0,+0,+0
2016-01-01 01:20:40 PST,+0,+0,+0
2016-01-01 01:20:50 PST,+0,+0,+0
2016-01-01 01:21:00 PST,+0,+0,+0
2016-01-01 01:21:10 PST,+0,+0,+0
2016-01-01 01:21:20 PST,+0,+0,+0
2016-01-01 01:21:30 PST,+0,+0,+0
2016-01-01 01:21:40 PST,+0,+0,+0
2016-01-01 01:21:50 PST,+0,+0,+0
2016-01-01 01:22:00 PST,+0,+0,+0
2016-01-01 01:22:10 PST,+0,+0,+0
2016-01-01 01:22:20 PST,+0,+0,+0
2016-01-01 01:22:30 PST,+0,+0,+0
2016-01-01 01:22:40 PST,+0,+0,+0
2016-01-01 01:22:50 PST,+0,+0,+0
2016-01-01 01:23:00 PST,+0,+0,+0
2016-01-01 01:23:10 PST,+0,+0,+0
2016-01-01 01:23:20 PST,+0,+0,+0
2016-01-01 01:23:30 PST,+0,+0,+0
2016-01-01 01:23:40 PST,+0,+0,+0
2016-01-01 01:23:50 PST,+0,+0,+0
2016-01-01 01:24:00 PST,+0,+0,+0
2016-01-01 01:24:10 PST,+0,+0,+0
2016-01-01 01:24:20 PST,+0,+0,+0
2016-01-01 01:24:30 PST,+0,+0,+0
2016-01-01 01:24:40 PST,+0,+0,+0
2016-01-01 01:24:50 PST,+0,+0,+0
2016-01-01 01:25:00 PST,+0,+0,+0
2016-01-01 01:25:10 PST,+0,+0,+0
2016-01-01 01:25:20 PST,+0,+0,+0
2016-01-01 01:25:30 PST,+0,+0,+0
2016-01-01 01:25:40 PST,+0,+0,+0
2016-01-01 01:25:50 PST,+0,+0,+0
2016-01-01 01:26:00 PST,+0,+0,+0
